PID	Street Address	MBLU	Book&Page	Assessment	Appraisal	Lot Size (acres)	Land Use Code	Description	Zoning District	# Buildings	Appr. Year	Improvements	Land	Total	Recent Sale Price	Recent Sale Date	Prev Sale Price	Prev Sale Date	Prev. Ass. Imp	Prev. Ass. Land	Prev. Ass. Tot	Prev. App. Imp	Prev. App. Land	Prev. App. Tot	
572	669 RIVER RD	405/  32/  /  / 	  4635/ 378	$364,900	$364,900	0.93	1010	SINGLE FAM MDL01	RD	1	2021	$181,000	$183,900	$364,900	$288,800	05/28/2021	$48,000	03/18/2020	$31,500	$117,100	$148,600	$31,500	$117,100	$148,600	20:07:11	100
883	108 HORTON LN	408/  45/  /  / 	  1370/0997	$73,000	$164,900	50.1	1010	SINGLE FAM MDL01	RD	1	2021	$21,300	$143,600	$164,900	$0	07/20/1979			$31,000	$37,900	$68,900	$31,000	$164,600	$195,600	20:07:12	101
884	44 HORTON LN	408/  46/  /  / 	  1479/0812	$352,500	$426,500	20	1010	SINGLE FAM MDL01	RD	1	2021	$191,000	$235,500	$426,500	$18,000	08/12/1983	$36,000	09/09/1977	$169,000	$142,300	$311,300	$169,000	$209,500	$378,500	20:07:13	102
100401	65 WASHBURN HILL RD	402/  15/  2000/  / 	  0000/0000	$2,500	$315,200	37.66	6114	WPMR-4	RD	1	2021	$0	$315,200	$315,200	$0	05/20/2005			$0	$2,500	$2,500	$0	$263,300	$263,300	20:07:14	103
887	36 HORTON LN	408/  47/  1000/  / 	  4027/0777	$1,360,300	$1,472,800	30.1	1010	SINGLE FAM MDL01	RD	1	2021	$998,100	$474,700	$1,472,800	$1,490,000	11/26/2013	$285,000	09/18/1995	$950,800	$398,700	$1,349,500	$950,800	$500,700	$1,451,500	20:07:15	104
578	765 RIVER RD	405/  38/  1000/  / 	  3816/0072	$1,768,800	$1,917,400	12.58	1013	SFR WATER  MDL-01	RD	1	2021	$881,300	$1,036,100	$1,917,400	$0	08/25/2011			$931,500	$539,800	$1,471,300	$931,500	$654,800	$1,586,300	20:07:15	105
579	772 RIVER RD	405/  39/  /  / 	  3480/0184	$655,300	$710,500	10	1010	SINGLE FAM MDL01	RD	1	2021	$443,300	$267,200	$710,500	$0	12/20/2007			$360,800	$234,300	$595,100	$360,800	$284,400	$645,200	20:07:16	106
580	748 RIVER RD	405/  40/  /  / 	  1792/0815	$19,300	$19,300	7	1300	RES ACLNDV	RD	1	2021	$0	$19,300	$19,300	$0	02/15/1989			$0	$17,500	$17,500	$0	$17,500	$17,500	20:07:17	107
581	736 RIVER RD	405/  42/  1000/  / 	  4474/ 623	$415,500	$737,000	49.50	1060	AC LND IMP	RD	1	2021	$169,200	$567,800	$737,000	$0	10/17/2019	$525,000	03/17/1998	$153,400	$246,300	$399,700	$153,400	$521,200	$674,600	20:07:18	108
582	738 RIVER RD	405/  42/  2000/  / 	  4474/0623	$1,378,800	$1,643,300	65	1010	SINGLE FAM MDL01	RD	1	2021	$971,900	$671,400	$1,643,300	$1,525,000	10/17/2019	$525,000	03/17/1998	$519,000	$278,800	$797,800	$519,000	$518,200	$1,037,200	20:07:19	109
584	122 BRECK HILL RD	405/  44/  /  / 	  4103/0394	$789,100	$1,093,000	61.66	1010	SINGLE FAM MDL01	RD	1	2021	$561,900	$531,100	$1,093,000	$758,000	12/29/2014	$565,000	09/20/1995	$454,200	$275,500	$729,700	$454,200	$550,800	$1,005,000	20:07:20	110
591	100 BRECK HILL RD	405/  45/  1000/  / 	  1994/0666	$11,200	$346,300	21.15	1300	RES ACLNDV	RD	1	2021	$0	$346,300	$346,300	$0	12/19/1994			$0	$11,200	$11,200	$0	$258,900	$258,900	20:07:21	111
592	92 BRECK HILL RD	405/  45/  2000/  / 	  1994/0666	$1,000	$190,200	5.35	6126	WPUN-6	RD	1	2021	$0	$190,200	$190,200	$0	12/19/1994			$0	$1,000	$1,000	$0	$144,900	$144,900	20:07:22	112
593	80 BRECK HILL RD	405/  46/  /  / 	  4366/0205	$525,600	$606,800	25	1010	SINGLE FAM MDL01	RD	1	2021	$234,800	$372,000	$606,800	$250,000	06/08/2016	$2,666	07/12/2002	$155,100	$257,100	$412,200	$155,100	$330,600	$485,700	20:07:23	113
34	4 MARKET ST	201/  27/  /  / 	  4368/0297	$552,900	$552,900	0.4	1010	SINGLE FAM MDL01	LCD	1	2021	$395,200	$157,700	$552,900	$0	06/19/2018	$135,000	02/01/1988	$391,300	$166,100	$557,400	$391,300	$166,100	$557,400	20:07:23	114
35	1 ON THE COMMON (COMMON)	201/  28/  /  / 	 	$29,200	$29,200	1.4	9035	TOWN-PROP	LCD	1	2021	$0	$29,200	$29,200	$0				$0	$24,000	$24,000	$0	$24,000	$24,000	20:07:24	115
37	16 ON THE COMMON	201/  30/  /  / 	  4325/0395	$650,500	$650,500	0.78	920C	NON PROFIT  MDL-94	LCD	1	2021	$297,500	$353,000	$650,500	$425,000	11/15/2017	$447,000	02/04/2009	$199,500	$286,400	$485,900	$199,500	$286,400	$485,900	20:07:25	116
103137	16  ON THE COMMON	201/  30/  T/  / 	  4325/0395	$50,000	$50,000	0	3900	DEVEL LAND		1	2021	$50,000	$0	$50,000	$425,000	11/15/2017			$45,500	$0	$45,500	$45,500	$0	$45,500	20:07:26	117
39	14 ON THE COMMON	201/  31/  1000/  / 	  4554/ 777	$576,700	$576,700	3.08	1040	TWO FAMILY	LCD	1	2021	$339,700	$237,000	$576,700	$640,000	09/15/2020	$440,000	05/20/2005	$421,400	$208,700	$630,100	$421,400	$208,700	$630,100	20:07:27	118
40	18 MARKET ST (BIG ROCK)	201/  31/  2000/  / 	  2295/0028	$43,000	$43,000	9.99	9035	TOWN-PROP		1	2021	$0	$43,000	$43,000	$0	11/18/1997			$0	$37,300	$37,300	$0	$37,300	$37,300	20:07:27	119
41	12 ON THE COMMON	201/  32/  /  / 	  3087/0441	$633,000	$633,000	0.65	1010	SINGLE FAM MDL01	LCD	1	2021	$447,000	$186,000	$633,000	$625,000	12/14/2004	$129,000	10/29/1998	$441,600	$175,800	$617,400	$441,600	$175,800	$617,400	20:07:28	120
42	10 ON THE COMMON	201/  33/  /  / 	  3371/0737	$488,500	$488,500	1.5	1010	SINGLE FAM MDL01	LCD	1	2021	$269,800	$218,700	$488,500	$0	12/07/2006			$246,800	$192,400	$439,200	$246,800	$192,400	$439,200	20:07:29	121
43	8 ON THE COMMON	201/  34/  /  / 	  4183/ 405	$345,600	$345,600	1.71	1010	SINGLE FAM MDL01	LCD	1	2021	$137,300	$208,300	$345,600	$0	01/13/2016	$195,000	07/07/2004	$156,300	$163,100	$319,400	$156,300	$163,100	$319,400	20:07:30	122
50	6 ON THE COMMON UNIT #1	201/  35/  0010/  / 	  2364/0058	$194,300	$194,300	0	1021	CONDO NL  MDL-05	LCD	1	2021	$194,300	$0	$194,300	$102,000	12/21/1998	$100,000	11/10/1994	$150,100	$0	$150,100	$150,100	$0	$150,100	20:07:31	123
54	6 ON THE COMMON UNIT #5	201/  35/  0050/  / 	  4125/0135	$179,900	$179,900	0	1021	CONDO NL  MDL-05	LCD	1	2021	$179,900	$0	$179,900	$142,000	05/04/2015	$149,000	12/27/2002	$137,400	$0	$137,400	$137,400	$0	$137,400	20:07:32	124
1136	182 GOOSE POND RD	410/  73/  /  / 	  3003/0844	$175,000	$175,000	1.2	1030	MOBILE HOM  MDL-02	RD	1	2021	$82,700	$92,300	$175,000	$159,000	05/28/2004	$129,000	09/20/2002	$68,400	$70,500	$138,900	$68,400	$70,500	$138,900	20:07:32	125
1126	203 GOOSE POND RD	410/  63/  /  / 	  3902/0658	$297,900	$297,900	2.1	1040	TWO FAMILY	RD	1	2021	$194,300	$103,600	$297,900	$0	07/27/2012	$255,000	07/01/2005	$168,200	$79,300	$247,500	$168,200	$79,300	$247,500	20:07:34	126
56	4 ON THE COMMON	201/  36/  /  / 	  3516/0484	$1,160,900	$1,160,900	0.18	3160	COMM WHSE	LCD	1	2021	$926,400	$234,500	$1,160,900	$0	04/22/2008	$7,543,800	04/02/2008	$908,500	$186,700	$1,095,200	$908,500	$186,700	$1,095,200	20:07:35	127
1165	101 GRAFTON TK	413/  1/  /  / 	  2525/0702	$155,600	$155,600	0.24	1010	SINGLE FAM MDL01	ELD	1	2021	$70,500	$85,100	$155,600	$80,000	03/29/2001			$57,300	$71,800	$129,100	$57,300	$71,800	$129,100	20:07:36	128
58	38 UNION ST (LIBRARY)	201/  38/  /  / 	 	$915,600	$915,600	0.44	903C	MUNICPAL  MDL-94	LCD	1	2021	$653,600	$262,000	$915,600	$0				$604,000	$255,500	$859,500	$604,000	$255,500	$859,500	20:07:37	129
575	711 RIVER RD	405/  35/  /  / 	  4561/ 481	$1,746,300	$1,993,400	21.50	1013	SFR WATER  MDL-01	RD	3	2021	$862,000	$1,131,400	$1,993,400	$1,950,000	10/05/2020	$1,519,000	06/06/2016	$731,800	$537,400	$1,269,200	$731,800	$765,900	$1,497,700	20:07:38	130
576	729 RIVER RD	405/  36/  /  / 	  3928/0824	$3,433,400	$3,433,400	18.43	1013	SFR WATER  MDL-01		5	2021	$2,084,100	$1,349,300	$3,433,400	$0	11/01/2012			$1,802,900	$943,100	$2,746,000	$1,802,900	$943,100	$2,746,000	20:07:39	131
250	17 HEWS LN	401/  47/  /  / 	  4117/0767	$2,700	$341,700	21	6513	FARMR-3	RD	1	2021	$0	$341,700	$341,700	$0	03/30/2015	$1,100,000	11/17/2006	$0	$2,700	$2,700	$0	$280,000	$280,000	20:07:40	132
251	20 HEWS LN	401/  48/  /  / 	  4424/0051	$599,200	$716,100	19.03	1010	SINGLE FAM MDL01	RD	1	2021	$367,000	$349,100	$716,100	$400,000	03/29/2019	$2,666	10/18/2001	$163,700	$182,600	$346,300	$163,700	$287,200	$450,900	20:07:40	133
252	10 HEWS LN	401/  49/  /  / 	  1667/0399	$321,000	$428,200	28.65	1010	SINGLE FAM MDL01	RD	1	2021	$176,700	$251,500	$428,200	$20,000	05/18/1987			$155,600	$94,600	$250,200	$155,600	$191,800	$347,400	20:07:41	134
253	8 HEWS LN	401/  50/  /  / 	  3420/0886	$362,500	$362,500	2.4	1010	SINGLE FAM MDL01	RD	1	2021	$212,100	$150,400	$362,500	$0	06/19/2007			$187,200	$116,400	$303,600	$187,200	$116,400	$303,600	20:07:42	135
254	43 DARTMOUTH COLLEGE HY	401/  51/  /  / 	  4388/0289	$507,600	$817,700	53.9	1010	SINGLE FAM MDL01	RD	1	2021	$356,800	$460,900	$817,700	$0	09/13/2018			$243,100	$117,600	$360,700	$243,100	$398,600	$641,700	20:07:43	136
255	61 DARTMOUTH COLLEGE HY	401/  52/  /  / 	002760/0503	$564,800	$564,800	2.2	1010	SINGLE FAM MDL01	RD	1	2021	$435,400	$129,400	$564,800	$232,266	12/20/2002			$188,200	$99,500	$287,700	$188,200	$99,500	$287,700	20:07:44	137
256	63-69 DARTMOUTH COLLEGE HY	401/  53/  1000/  / 	  4013/ 0518	$1,732,200	$1,732,200	3.2	0101	Single Fam	RD	4	2021	$1,367,900	$364,300	$1,732,200	$116,733	09/23/2013			$1,251,500	$237,700	$1,489,200	$1,251,500	$237,700	$1,489,200	20:07:45	138
257	77 DARTMOUTH COLLEGE HY	401/  54/  /  / 	  4223/0643	$187,600	$187,600	2.4	1010	SINGLE FAM MDL01	RD	1	2021	$56,900	$130,700	$187,600	$150,000	08/01/2016			$67,900	$100,700	$168,600	$67,900	$100,700	$168,600	20:07:46	139
258	85 DARTMOUTH COLLEGE HY #3010	401/  55/  301/  / 	  3324/0514	$378,800	$378,800	0.00	1021	CONDO NL  MDL-05	BD	1	2021	$378,800	$0	$378,800	$368,533	08/30/2006	$167,266	03/05/2003	$347,600	$0	$347,600	$347,600	$0	$347,600	20:07:47	140
259	101 DARTMOUTH COLLEGE HY	401/  56/  /  / 	  2297/0890	$3,047,400	$3,047,400	136	904C	PRI SCHOOL  MDL-94		1	2021	$2,454,700	$592,700	$3,047,400	$250,000	02/17/1998	$252,000	09/21/1993	$2,190,400	$492,700	$2,683,100	$2,190,400	$492,700	$2,683,100	20:07:48	141
260	82 RIVER RD	401/  57/  /  / 	  4329/0380	$247,100	$247,100	0.83	1010	SINGLE FAM MDL01	RD	1	2021	$82,600	$164,500	$247,100	$0	12/04/2017	$1,500	02/12/1970	$61,100	$157,300	$218,400	$61,100	$157,300	$218,400	20:07:49	142
102876	66 BLISS LN	410/  46/  2000/  / 	  4648/  22	$800	$327,900	22.45	6334	OTUNR-4	RD	1	2021	$0	$327,900	$327,900	$0	01/29/2021	$1,695,000	03/27/2014	$0	$800	$800	$0	$281,700	$281,700	20:07:50	143
267	7 WILMOTT WY	401/  59/  /  / 	  1150/0068	$189,500	$189,500	5.78	1030	MOBILE HOM  MDL-02	RD	1	2021	$66,900	$122,600	$189,500	$0				$36,300	$96,600	$132,900	$36,300	$96,600	$132,900	20:07:51	144
270	21 WILMOTT WY	401/  60/  /  / 	  1829/0728	$172,200	$172,200	4.91	1030	MOBILE HOM  MDL-02	RD	1	2021	$54,400	$117,800	$172,200	$40,000	10/24/1989			$33,700	$92,300	$126,000	$33,700	$92,300	$126,000	20:07:52	145
271	25 WILMOTT WY	401/  61/  /  / 	  2270/0888	$421,400	$421,400	2.10	1090	MULTI HSES	RD	2	2021	$293,800	$127,600	$421,400	$73,000	09/06/1997	$40,000	10/16/1989	$313,300	$78,200	$391,500	$313,300	$78,200	$391,500	20:07:53	146
273	34 WILMOTT WY	401/  63/  /  / 	PRO-1988	$133,500	$133,500	2.01	1030	MOBILE HOM  MDL-02	RD	1	2021	$32,800	$100,700	$133,500	$0	01/01/1988			$25,700	$69,300	$95,000	$25,700	$69,300	$95,000	20:07:55	147
275	12 WILMOTT WY	401/  65/  /  / 	  1851/ 914	$140,000	$140,000	2.5	1030	MOBILE HOM  MDL-02	RD	1	2021	$30,200	$109,800	$140,000	$79,900	03/19/1990			$14,200	$84,200	$98,400	$14,200	$84,200	$98,400	20:07:56	148
102896	59 ORFORD RD	408/  19/  /  / 	  4658/ 326	$500	$206,700	6.2	6224	HWUN-4	RD	1	2021	$0	$206,700	$206,700	$219,000	08/12/2021			$0	$400	$400	$0	$69,900	$69,900	20:07:57	149
102770	100 RIVER RD	402/  85/  /  / 	  4102/0216	$813,200	$988,800	38.81	1010	SINGLE FAM MDL01	RD	1	2021	$632,600	$356,200	$988,800	$550,000	12/19/2014			$572,100	$196,400	$768,500	$572,100	$355,700	$927,800	20:07:58	150
102771	355 ORFORD RD	406/  5/  /  / 	  4315/0624	$292,200	$292,200	1.4	1010	SINGLE FAM MDL01		1	2021	$155,400	$136,800	$292,200	$250,000	10/03/2017	$130,000	11/22/2016	$142,000	$93,900	$235,900	$142,000	$93,900	$235,900	20:07:59	151
102772	131 GRAFTON TK	413/  4/  /  / 	  3848/0046	$14,800	$519,500	372	6232	HWUNR-2	ELD	1	2021	$0	$519,500	$519,500	$0	12/30/2011	$650,000	01/29/2007	$0	$14,800	$14,800	$0	$447,800	$447,800	20:07:59	152
276	6 WILMOTT WY	401/  66/  /  / 	  4196/0207	$306,500	$306,500	1.5	1010	SINGLE FAM MDL01	RD	1	2021	$133,100	$173,400	$306,500	$299,900	01/04/2016	$140,000	08/15/1994	$122,700	$167,400	$290,100	$122,700	$167,400	$290,100	20:08:00	153
278	50 RIVER RD	401/  68/  /  / 	  4104/ 142	$350,300	$472,900	43.47	1010	SINGLE FAM MDL01	RD	1	2021	$159,300	$313,600	$472,900	$0	12/19/2014			$72,200	$168,600	$240,800	$72,200	$277,900	$350,100	20:08:01	154
102897	60 ORFORD RD	408/  20/  /  / 	  1633/0016	$337,800	$352,800	4.95	1093	MLTI HS WF		4	2021	$72,500	$280,300	$352,800	$0	02/23/1977			$96,500	$216,600	$313,100	$96,500	$233,500	$330,000	20:08:02	155
59	36 UNION ST	201/  39/  /  / 	002867/0533	$511,800	$511,800	0.39	1010	SINGLE FAM MDL01	LCD	1	2021	$355,300	$156,500	$511,800	$210,000	08/04/2003	$169,000	11/09/2001	$331,100	$165,000	$496,100	$331,100	$165,000	$496,100	20:08:03	156
60	32 UNION ST	201/  40/  /  / 	 	$704,000	$704,000	1.55	1040	TWO FAMILY	LCD	1	2021	$485,100	$218,900	$704,000	$0				$442,800	$192,600	$635,400	$442,800	$192,600	$635,400	20:08:04	157
859	70 ORFORD RD	408/  22/  1000/  / 	  1903/ 0413	$1,247,700	$1,247,700	13.45	3880	CABNCOLONY	RD	21	2021	$343,900	$903,800	$1,247,700	$0	04/01/1991			$411,500	$459,000	$870,500	$411,500	$459,000	$870,500	20:08:06	158
102976	ORFORD RD	408/  22/  2000/  / 	  1903/0413	$159,000	$502,800	96.55	3880	CABNCOLONY	RD	1	2021	$37,100	$465,700	$502,800	$0	04/01/1991			$28,500	$93,900	$122,400	$28,500	$406,000	$434,500	20:08:07	159
63	28 UNION ST	201/  43/  /  / 	  4023/0682	$490,500	$490,500	2.55	111C	APT 4-UNT  MDL-94	LCD	1	2021	$258,400	$232,100	$490,500	$0	11/06/2013	$160,000	02/27/1989	$182,300	$204,300	$386,600	$182,300	$204,300	$386,600	20:08:08	160
64	26 UNION ST	201/  44/  /  / 	  2161/0118	$322,100	$322,100	1.6	1010	SINGLE FAM MDL01	LCD	1	2021	$103,900	$218,200	$322,100	$80,000	09/22/1995			$100,700	$161,800	$262,500	$100,700	$161,800	$262,500	20:08:09	161
66	22 UNION ST	201/  46/  /  / 	  3368/0837	$449,700	$449,700	1.28	1040	TWO FAMILY	LCD	1	2021	$218,800	$230,900	$449,700	$0	01/12/2007			$205,200	$203,200	$408,400	$205,200	$203,200	$408,400	20:08:10	162
68	5 BROOK LN	201/  48/  /  / 	  3695/0434	$284,100	$284,100	2.3	1010	SINGLE FAM MDL01	RD	1	2021	$127,000	$157,100	$284,100	$0	04/21/2010			$136,000	$120,600	$256,600	$136,000	$120,600	$256,600	20:08:12	163
69	4 BROOK LN	201/  49/  /  / 	 	$8,600	$8,600	0.41	9010	STATE NH	RD	1	2021	$0	$8,600	$8,600	$0				$0	$8,400	$8,400	$0	$8,400	$8,400	20:08:13	164
76	11 UNION ST	201/  51/  1000/  / 	  4086/0348	$754,200	$754,200	2	1010	SINGLE FAM MDL01	LCD	1	2021	$519,800	$234,400	$754,200	$515,000	10/03/2014	$150,000	06/30/1986	$537,500	$206,400	$743,900	$537,500	$206,400	$743,900	20:08:14	165
78	15 UNION ST	201/  52/  /  / 	  2809/0420	$390,300	$390,300	1	1010	SINGLE FAM MDL01	LCD	1	2021	$173,800	$216,500	$390,300	$225,000	04/25/2003			$132,600	$190,400	$323,000	$132,600	$190,400	$323,000	20:08:14	166
79	17 UNION ST	201/  53/  /  / 	  0909/0569	$333,300	$333,300	0.99	1010	SINGLE FAM MDL01	LCD	1	2021	$116,800	$216,500	$333,300	$0				$105,400	$190,200	$295,600	$105,400	$190,200	$295,600	20:08:15	167
80	21 UNION ST	201/  54/  /  / 	 	$618,800	$618,800	18	906R	CHURCH ETC  MDL-01	LCD	1	2021	$301,600	$317,200	$618,800	$0				$226,900	$265,000	$491,900	$226,900	$265,000	$491,900	20:08:16	168
81	25 UNION ST	201/  55/  /  / 	  1659/0083	$429,800	$429,800	1.4	0130	PRI RES	LCD	1	2021	$139,400	$290,400	$429,800	$190,000	03/01/1987			$119,100	$255,500	$374,600	$119,100	$255,500	$374,600	20:08:17	169
82	27 UNION ST	201/  56/  /  / 	  3046/0166	$417,000	$417,000	0.67	1040	TWO FAMILY	LCD	1	2021	$217,700	$199,300	$417,000	$210,000	08/12/2004	$133,000	06/03/1986	$157,800	$186,800	$344,600	$157,800	$186,800	$344,600	20:08:18	170
84	35 UNION ST (ELEM SCHOOL)	201/  58/  /  / 	 	$5,187,300	$5,187,300	6.8	903C	MUNICPAL  MDL-94	LCD	1	2021	$3,187,200	$2,000,100	$5,187,300	$0				$2,800,400	$1,387,500	$4,187,900	$2,800,400	$1,387,500	$4,187,900	20:08:19	171
85	39 UNION ST (LITTLE COMMON)	201/  59/  /  / 	 	$16,900	$16,900	0.38	9035	TOWN-PROP	LCD	1	2021	$0	$16,900	$16,900	$0				$0	$16,400	$16,400	$0	$16,400	$16,400	20:08:20	172
86	37 UNION ST	201/  60/  /  / 	  3138/0802	$700,600	$700,600	1.1	1010	SINGLE FAM MDL01	LCD	1	2021	$471,700	$228,900	$700,600	$513,000	05/11/2005			$422,300	$201,400	$623,700	$422,300	$201,400	$623,700	20:08:21	173
87	19 EAST THETFORD RD	201/  61/  /  / 	4083-0169	$635,700	$635,700	1.5	1010	SINGLE FAM MDL01	LCD	1	2021	$379,700	$256,000	$635,700	$660,000	09/16/2014			$373,400	$225,400	$598,800	$373,400	$225,400	$598,800	20:08:22	174
91	2 HAMILTON LN	201/  65/  /  / 	  2866/0001	$803,300	$803,300	0.81	1090	MULTI HSES	LCD	2	2021	$526,300	$277,000	$803,300	$0	03/06/2012	$135,000	06/08/1988	$548,900	$191,900	$740,800	$548,900	$191,900	$740,800	20:08:23	175
92	8 EAST THETFORD RD	201/  66/  /  / 	  3677/0115	$257,300	$257,300	0.67	1010	SINGLE FAM MDL01	LCD	1	2021	$77,800	$179,500	$257,300	$0	01/20/2010	$102,000	01/09/1995	$63,100	$149,400	$212,500	$63,100	$149,400	$212,500	20:08:24	176
93	6 EAST THETFORD RD	201/  67/  /  / 	  4321/0698	$680,100	$680,100	0.70	1010	SINGLE FAM MDL01	LCD	1	2021	$475,800	$204,300	$680,100	$589,000	10/30/2017	$485,000	09/16/2008	$298,700	$188,200	$486,900	$298,700	$188,200	$486,900	20:08:24	177
94	4 EAST THETFORD RD	201/  68/  /  / 	  2263/0290	$564,700	$564,700	0.55	1010	SINGLE FAM MDL01	LCD	1	2021	$385,500	$179,200	$564,700	$208,000	07/29/1997	$126,600	10/06/1993	$266,600	$178,700	$445,300	$266,600	$178,700	$445,300	20:08:25	178
99	1 MAIN          ST (33% INT)	201/  70/  0010/  / 	  4023/0680	$328,500	$328,500	0.00	340C	OFF CONDO  MDL-94	LCD	1	2021	$328,500	$0	$328,500	$0	11/06/2013	$123,810	07/21/1993	$308,800	$0	$308,800	$308,800	$0	$308,800	20:08:27	179
101	1 MAIN          ST (67% INT)	201/  70/  0020/  / 	  4023/0680	$543,900	$543,900	0.00	340C	OFF CONDO  MDL-94	LCD	2	2021	$543,900	$0	$543,900	$0	11/06/2013	$215,048	12/31/1992	$543,200	$0	$543,200	$543,200	$0	$543,200	20:08:29	180
103	10 LATHAM LN	201/  72/  /  / 	  3650/0629	$306,900	$306,900	1.4	1010	SINGLE FAM MDL01	LCD	1	2021	$121,800	$185,100	$306,900	$274,533	10/02/2009	$3,800	03/25/2008	$116,200	$162,700	$278,900	$116,200	$162,700	$278,900	20:08:30	181
104	5 MAIN ST	201/  73/  /  / 	  3457/0514	$1,449,300	$1,449,300	0.96	3220	STORE/SHOP  MDL-94	LCD	1	2021	$1,055,000	$394,300	$1,449,300	$500,000	10/12/2007	$400,000	01/02/1987	$923,900	$298,600	$1,222,500	$923,900	$298,600	$1,222,500	20:08:31	182
105	7 MAIN ST	201/  74/  /  / 	  3452/0881	$510,400	$510,400	0.4	3400	OFFICE BLD  MDL-94	LCD	1	2021	$236,100	$274,300	$510,400	$0	09/13/2007	$225,000	06/24/1988	$219,000	$249,200	$468,200	$219,000	$249,200	$468,200	20:08:31	183
106	9 MAIN ST	201/  75/  /  / 	  2305/0161	$1,909,300	$1,909,300	5.40	3020	INNS	LCD	3	2021	$1,421,000	$488,300	$1,909,300	$0	03/06/1998	$400,000	05/15/1989	$1,164,400	$388,300	$1,552,700	$1,164,400	$388,300	$1,552,700	20:08:32	184
107	13 MAIN ST	201/  76/  /  / 	  3045/0960	$623,200	$623,200	0.31	3220	STORE/SHOP  MDL-94	LCD	2	2021	$359,500	$263,700	$623,200	$0	08/30/2004	$450,000	01/18/1988	$340,500	$233,900	$574,400	$340,500	$233,900	$574,400	20:08:33	185
111	1 PLEASANT ST (OLD CEMETERY	201/  78/  /  / 	 	$429,100	$429,100	3.7	9035	TOWN-PROP		1	2021	$4,400	$424,700	$429,100	$0				$4,000	$337,700	$341,700	$4,000	$337,700	$341,700	20:08:34	186
102937	ROW  TOWN OF LYME	100/  5/  /  / 	  0000/0000	$6,000	$6,000	0.00	3900	DEVEL LAND		1	2021	$6,000	$0	$6,000	$0	01/01/2001			$5,000	$0	$5,000	$5,000	$0	$5,000	20:08:35	187
120	4 BRITTON LN	201/  83/  /  / 	  4421/0347	$822,900	$822,900	4.2	3160	COMM WHSE	LCD	1	2021	$462,100	$360,800	$822,900	$675,000	03/18/2019	$4,000	01/25/1989	$461,500	$277,700	$739,200	$461,500	$277,700	$739,200	20:08:37	188
121	34 PLEASANT ST	201/  84/  /  / 	  3729/0847	$146,100	$146,100	1.4	1010	SINGLE FAM MDL01	LCD	1	2021	$2,400	$143,700	$146,100	$115,000	09/10/2010	$242,533	09/23/2005	$73,600	$115,200	$188,800	$73,600	$115,200	$188,800	20:08:37	189
689	22 POST POND LN	407/  29/  /  / 	  4425/0328	$463,000	$508,400	12.2	1010	SINGLE FAM MDL01	RD	1	2021	$301,300	$207,100	$508,400	$385,000	04/05/2019	$440,000	04/10/2008	$223,400	$142,500	$365,900	$223,400	$183,700	$407,100	20:08:38	190
690	16 POST POND LN	407/  30/  /  / 	  3990/0020	$926,900	$926,900	3.7	1010	SINGLE FAM MDL01	RD	1	2021	$726,400	$200,500	$926,900	$770,000	06/25/2013	$850,000	05/06/2008	$591,800	$191,700	$783,500	$591,800	$191,700	$783,500	20:08:39	191
102737	51 HIGH ST	201/  134/  /  / 	  4238/0547	$1,041,400	$1,041,400	9.9	1010	SINGLE FAM MDL01	LCD	1	2021	$672,900	$368,500	$1,041,400	$360,000	10/03/2016	$209,000	06/26/2006	$569,100	$324,800	$893,900	$569,100	$324,800	$893,900	20:08:40	192
691	11 NORTH THETFORD RD	407/  31/  /  / 	  4179/ 118	$613,500	$666,400	23.28	0101	Single Fam	RD	1	2021	$400,600	$265,800	$666,400	$275,000	12/16/2015			$405,100	$169,900	$575,000	$405,100	$217,300	$622,400	20:08:43	193
696	33 NORTH THETFORD RD	407/  36/  /  / 	  1558/0885	$493,000	$493,000	4.7	1010	SINGLE FAM MDL01	RD	1	2021	$301,800	$191,200	$493,000	$0				$294,500	$165,700	$460,200	$294,500	$165,700	$460,200	20:08:44	194
697	7 TURNER LN	407/  37/  /  / 	  4099/0876	$364,000	$442,500	11.19	1010	SINGLE FAM MDL01	RD	1	2021	$227,900	$214,600	$442,500	$380,000	12/08/2014	$215,050	09/20/1990	$169,800	$153,100	$322,900	$169,800	$208,400	$378,200	20:08:45	195
698	15 TURNER LN	407/  38/  /  / 	  4538/ 990	$665,700	$665,700	4.7	1010	SINGLE FAM MDL01		1	2021	$486,500	$179,200	$665,700	$675,733	07/24/2020	$162,000	08/30/1989	$463,100	$180,800	$643,900	$463,100	$180,800	$643,900	20:08:46	196
700	57 NORTH THETFORD RD	407/  40/  /  / 	002842/0827	$126,500	$126,500	0.33	1030	MOBILE HOM  MDL-02	RD	1	2021	$48,900	$77,600	$126,500	$45,000	06/24/2003			$40,900	$72,900	$113,800	$40,900	$72,900	$113,800	20:08:47	197
701	52 NORTH THETFORD RD	407/  41/  /  / 	  1680/ 554	$384,700	$384,700	4.2	1010	SINGLE FAM MDL01		1	2021	$208,100	$176,600	$384,700	$0	06/30/1987			$151,100	$142,000	$293,100	$151,100	$142,000	$293,100	20:08:48	198
702	48 NORTH THETFORD RD	407/  42/  /  / 	  4533/ 221	$365,500	$365,500	3.2	1010	SINGLE FAM MDL01		1	2021	$216,000	$149,500	$365,500	$382,000	07/02/2020	$335,000	06/24/2015	$213,600	$119,400	$333,000	$213,600	$119,400	$333,000	20:08:49	199
